totalLike,totalComment,tag
1589,86.0,"#和平精英与高达并肩\""
4320421,125832.0,#游戏
3287,87.0,#史上最惨
1872342,25570.0,#中国玩家
4320421,125832.0,#游戏
40761,410.0,#躲猫猫 #游戏 #中国玩家 
108000,4862.0,#星核玩家
370,13.0,#主机单机 #死寂
4320421,125832.0,#游戏
4320421,125832.0,#游戏
1872342,25570.0,#中国玩家
505612,4533.0,#游戏 #中国玩家 #躲猫猫 
42653,357.0,#中国玩家 #游戏杂谈 #游戏bug 
101452,1993.0,#火车 
1185504,15510.0,#中国玩家 
101452,1993.0,#无聊 
957,25.0,#中国玩家 #LC苏拉 #游戏杂谈 
142323,4402.0,#满级玩家
142323,4402.0,#台球
142323,4402.0,#杆法
95,10.0,#影视解说
64,8.0,#我的观影报告
226695,10164.0,#集结吧光合创作者
22159,2779.0,#和平精英
4320421,125832.0,#游戏
169490,2983.0,#了不起的中国玩家
4320421,125832.0,#游戏
170381,3429.0,#强大的中国玩家
9278,158.0,#方舟生存进化
4320421,125832.0,#游戏
1872342,25570.0,#中国玩家
1028,18.0,#脑洞大开
4320421,125832.0,#游戏
4320421,125832.0,#游戏
898169,8997.0,#躲猫猫
4320421,125832.0,#游戏
128,5.0,#王者全明星公益赛
4320421,125832.0,#游戏
128,5.0,#职业法师
4320421,125832.0,#游戏
69082,1409.0,#单机游戏
1872342,25570.0,#中国玩家
194,2.0,#游戏  # 游戏日常 
1123,26.0,#星核玩家  #主机单机
226695,10164.0,#集结吧光合创作者
4497,65.0,#boneworks
4497,65.0,#vr游戏  #超核游戏品鉴团 
16285,335.0,#游戏  #中国玩家 
203462,4138.0,#游戏  
1072,34.0,#主机单机  #星核玩家  #王者荣耀 
940,12.0,#中国玩家 #CSGO #游戏杂谈 
1872342,25570.0,#中国玩家
306,11.0,#cf中外邀请赛
151243,6246.0,#cf
306,11.0,#主播
1680912,30999.0,#游戏 
1680912,30999.0,#游戏 
117834,1433.0,#csgo
60222,606.0,#游戏mod
72774,757.0,#游戏 #搞笑 
170381,3429.0,#强大的中国玩家
1680912,30999.0,#游戏 
1872342,25570.0,#中国玩家
4320421,125832.0,#游戏
241204,3518.0,#搞笑
1872342,25570.0,#中国玩家
4320421,125832.0,#游戏
175,6.0,#日本 玩家#中国玩家骚操作 #游戏杂谈 
6037,163.0,#游戏日常
56,7.0,#吃鸡日常
160522,2351.0,#玩家
431374,9261.0,#游戏杂谈
81161,849.0,"#中国玩家 #游戏杂谈 \""
431374,9261.0,#游戏杂谈
81161,849.0,"#中国玩家 #游戏杂谈 \""
431374,9261.0,#游戏杂谈
81161,849.0,"#中国玩家 #游戏杂谈 \""
431374,9261.0,#游戏杂谈
81161,849.0,"#中国玩家 #游戏杂谈 \""
431374,9261.0,#游戏杂谈
81161,849.0,"#中国玩家 #游戏杂谈 \""
431374,9261.0,#游戏杂谈
81161,849.0,"#中国玩家 #游戏杂谈 \""
431374,9261.0,#游戏杂谈
81161,849.0,"#中国玩家 #游戏杂谈 \""
431374,9261.0,#游戏杂谈
81161,849.0,"#中国玩家 #游戏杂谈 \""
431374,9261.0,#游戏杂谈
81161,849.0,"#中国玩家 #游戏杂谈 \""
431374,9261.0,#游戏杂谈
